date,opponent,is_home,goals_for,goals_against,win
2024-03-11,STL,1,1,5,0
2024-03-14,MTL,0,2,1,1
2024-03-16,PHI,1,6,5,1
2024-03-19,OTT,1,6,2,1
2024-03-21,NYR,1,2,5,0
2024-03-23,PHI,0,2,3,0
2024-03-26,FLA,0,4,3,1
2024-03-27,TBL,0,1,3,0
2024-03-30,WSH,0,3,2,1
2024-04-02,NSH,0,3,0,1
2024-04-04,CAR,0,4,1,1
2024-04-06,FLA,1,3,2,1
2024-04-09,CAR,1,1,4,0
2024-04-13,PIT,0,6,4,1
2024-04-15,WSH,0,0,2,0
2024-04-16,OTT,1,1,3,0
2024-04-20,TOR,1,5,1,1
2024-04-22,TOR,1,2,3,0
2024-04-24,TOR,0,4,2,1
2024-04-27,TOR,0,3,1,1
2024-04-30,TOR,1,1,2,0
2024-05-02,TOR,0,1,2,0
2024-05-04,TOR,1,2,1,1
2024-05-06,FLA,0,5,1,1
2024-05-08,FLA,0,1,6,0
2024-05-10,FLA,1,2,6,0
2024-05-12,FLA,1,2,3,0
2024-05-14,FLA,0,2,1,1
2024-05-17,FLA,1,1,2,0
